ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,single,67.0,university,124670.0,skilled employee / official,2.0
100000002,1,non-single (divorced / separated / married / widowed),22.0,high school,150773.0,skilled employee / official,2.0
100000003,0,single,49.0,high school,89210.0,unemployed / unskilled,
100000004,0,single,45.0,high school,171565.0,skilled employee / official,1.0
100000005,0,single,53.0,high school,149031.0,skilled employee / official,
100000006,0,single,35.0,high school,144848.0,unemployed / unskilled,0.0
100000007,0,single,53.0,,156495.0,skilled employee / official,1.0
100000008,0,single,35.0,high school,193621.0,management / self-employed / highly qualified employee / officer,1.0
100000009,0,non-single (divorced / separated / married / widowed),,university,151591.0,unemployed / unskilled,0.0
100000010,0,non-single (divorced / separated / married / widowed),28.0,high school,174646.0,management / self-employed / highly qualified employee / officer,0.0
100000011,1,non-single (divorced / separated / married / widowed),25.0,high school,108469.0,skilled employee / official,0.0
100000012,1,non-single (divorced / separated / married / widowed),24.0,high school,127596.0,skilled employee / official,0.0
100000013,1,non-single (divorced / separated / married / widowed),22.0,high school,108687.0,skilled employee / official,2.0
100000014,0,single,60.0,university,89374.0,unemployed / unskilled,0.0
100000015,1,non-single (divorced / separated / married / widowed),,,102899.0,skilled employee / official,1.0
100000016,1,non-single (divorced / separated / married / widowed),32.0,high school,88428.0,unemployed / unskilled,0.0
100000017,0,single,53.0,high school,125550.0,skilled employee / official,0.0
100000018,0,single,25.0,other / unknown,157434.0,skilled employee / official,2.0
100000019,1,non-single (divorced / separated / married / widowed),44.0,university,261952.0,management / self-employed / highly qualified employee / officer,2.0
100000020,0,single,31.0,other / unknown,144657.0,skilled employee / official,1.0
100000021,0,single,48.0,high school,118777.0,skilled employee / official,1.0
100000022,0,single,44.0,high school,147511.0,skilled employee / official,1.0
100000023,0,single,48.0,,89804.0,unemployed / unskilled,0.0
100000024,0,single,44.0,,134918.0,skilled employee / official,2.0
100000025,0,non-single (divorced / separated / married / widowed),26.0,high school,103667.0,skilled employee / official,2.0
100000026,0,single,36.0,high school,71909.0,unemployed / unskilled,0.0
100000027,0,non-single (divorced / separated / married / widowed),39.0,high school,68264.0,unemployed / unskilled,0.0
100000028,1,non-single (divorced / separated / married / widowed),42.0,university,163025.0,skilled employee / official,1.0
100000029,0,single,34.0,high school,119307.0,skilled employee / official,1.0
100000030,0,,63.0,university,175882.0,skilled employee / official,0.0
100000031,0,non-single (divorced / separated / married / widowed),36.0,high school,159646.0,skilled employee / official,1.0
100000032,0,single,27.0,other / unknown,120131.0,skilled employee / official,1.0
100000033,0,single,30.0,,162745.0,skilled employee / official,2.0
100000034,0,single,57.0,university,87605.0,unemployed / unskilled,0.0
100000035,1,non-single (divorced / separated / married / widowed),33.0,,155569.0,management / self-employed / highly qualified employee / officer,1.0
100000036,0,single,25.0,other / unknown,104505.0,unemployed / unskilled,0.0
100000037,0,single,31.0,,143385.0,skilled employee / official,2.0
100000038,0,single,37.0,high school,127676.0,skilled employee / official,1.0
100000039,0,single,37.0,high school,119276.0,skilled employee / official,1.0
100000040,0,single,24.0,other / unknown,92542.0,skilled employee / official,1.0
100000041,0,single,30.0,,163329.0,management / self-employed / highly qualified employee / officer,1.0
100000042,0,non-single (divorced / separated / married / widowed),26.0,high school,130921.0,skilled employee / official,0.0
100000043,0,single,44.0,high school,133658.0,unemployed / unskilled,0.0
100000044,0,non-single (divorced / separated / married / widowed),24.0,high school,155104.0,skilled employee / official,1.0
100000045,1,non-single (divorced / separated / married / widowed),58.0,university,142335.0,unemployed / unskilled,1.0
100000046,1,non-single (divorced / separated / married / widowed),35.0,high school,138387.0,management / self-employed / highly qualified employee / officer,1.0
100000047,0,single,39.0,high school,140182.0,skilled employee / official,0.0
100000048,1,non-single (divorced / separated / married / widowed),23.0,high school,65421.0,unemployed / unskilled,0.0
100000049,0,single,39.0,high school,130500.0,unemployed / unskilled,0.0
100000050,1,non-single (divorced / separated / married / widowed),28.0,high school,122831.0,skilled employee / official,0.0
100000051,0,single,29.0,,84531.0,unemployed / unskilled,0.0
100000052,0,single,30.0,other / unknown,180196.0,management / self-employed / highly qualified employee / officer,2.0
100000053,0,single,25.0,other / unknown,92058.0,skilled employee / official,2.0
100000054,0,single,31.0,other / unknown,117158.0,skilled employee / official,0.0
100000055,0,single,57.0,university,135830.0,skilled employee / official,1.0
100000056,0,single,26.0,other / unknown,58258.0,unemployed / unskilled,0.0
100000057,0,,52.0,high school,202575.0,management / self-employed / highly qualified employee / officer,2.0
100000058,1,non-single (divorced / separated / married / widowed),31.0,high school,183657.0,skilled employee / official,1.0
100000059,1,non-single (divorced / separated / married / widowed),23.0,high school,152267.0,management / self-employed / highly qualified employee / officer,1.0
100000060,1,non-single (divorced / separated / married / widowed),23.0,high school,115240.0,unemployed / unskilled,0.0
100000061,0,non-single (divorced / separated / married / widowed),27.0,high school,106955.0,skilled employee / official,2.0
100000062,0,single,50.0,high school,123641.0,skilled employee / official,1.0
100000063,0,single,61.0,university,166410.0,management / self-employed / highly qualified employee / officer,1.0
100000064,0,single,25.0,other / unknown,227385.0,skilled employee / official,2.0
100000065,1,non-single (divorced / separated / married / widowed),26.0,high school,118372.0,skilled employee / official,1.0
100000066,0,,48.0,high school,148115.0,skilled employee / official,1.0
100000067,1,non-single (divorced / separated / married / widowed),29.0,,111069.0,skilled employee / official,0.0
100000068,0,non-single (divorced / separated / married / widowed),22.0,high school,139780.0,skilled employee / official,0.0
100000069,0,single,37.0,high school,106978.0,skilled employee / official,2.0
100000070,1,,25.0,high school,110019.0,skilled employee / official,2.0
100000071,1,,,high school,169102.0,skilled employee / official,1.0
100000072,0,single,46.0,high school,73703.0,unemployed / unskilled,0.0
100000073,0,single,51.0,high school,141858.0,management / self-employed / highly qualified employee / officer,2.0
100000074,1,non-single (divorced / separated / married / widowed),41.0,university,135959.0,unemployed / unskilled,0.0
100000075,0,single,40.0,high school,140888.0,management / self-employed / highly qualified employee / officer,2.0
