ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,single,67,university,124670,skilled employee / official,2
100000002,1,non-single (divorced / separated / married / widowed),22,high school,150773,skilled employee / official,2
100000003,0,single,49,high school,89210,unemployed / unskilled,0
100000004,0,single,45,high school,171565,skilled employee / official,1
100000005,0,single,53,high school,149031,skilled employee / official,1
100000006,0,single,35,high school,144848,unemployed / unskilled,0
100000007,0,single,53,high school,156495,skilled employee / official,1
100000008,0,single,35,high school,193621,management / self-employed / highly qualified employee / officer,1
100000009,0,non-single (divorced / separated / married / widowed),61,university,151591,unemployed / unskilled,0
100000010,0,non-single (divorced / separated / married / widowed),28,high school,174646,management / self-employed / highly qualified employee / officer,0
100000011,1,non-single (divorced / separated / married / widowed),25,high school,108469,skilled employee / official,0
100000012,1,non-single (divorced / separated / married / widowed),24,high school,127596,skilled employee / official,0
100000013,1,non-single (divorced / separated / married / widowed),22,high school,108687,skilled employee / official,2
100000014,0,single,60,university,89374,unemployed / unskilled,0
100000015,1,non-single (divorced / separated / married / widowed),28,high school,102899,skilled employee / official,1
100000016,1,non-single (divorced / separated / married / widowed),32,high school,88428,unemployed / unskilled,0
100000017,0,single,53,high school,125550,skilled employee / official,0
100000018,0,single,25,other / unknown,157434,skilled employee / official,2
100000019,1,non-single (divorced / separated / married / widowed),44,university,261952,management / self-employed / highly qualified employee / officer,2
100000020,0,single,31,other / unknown,144657,skilled employee / official,1
100000021,0,single,48,high school,118777,skilled employee / official,1
100000022,0,single,44,high school,147511,skilled employee / official,1
100000023,0,single,48,high school,89804,unemployed / unskilled,0
100000024,0,single,44,high school,134918,skilled employee / official,2
100000025,0,non-single (divorced / separated / married / widowed),26,high school,103667,skilled employee / official,2
100000026,0,single,36,high school,71909,unemployed / unskilled,0
100000027,0,non-single (divorced / separated / married / widowed),39,high school,68264,unemployed / unskilled,0
100000028,1,non-single (divorced / separated / married / widowed),42,university,163025,skilled employee / official,1
100000029,0,single,34,high school,119307,skilled employee / official,1
100000030,0,single,63,university,175882,skilled employee / official,0
100000031,0,non-single (divorced / separated / married / widowed),36,high school,159646,skilled employee / official,1
100000032,0,single,27,other / unknown,120131,skilled employee / official,1
100000033,0,single,30,other / unknown,162745,skilled employee / official,2
100000034,0,single,57,university,87605,unemployed / unskilled,0
100000035,1,non-single (divorced / separated / married / widowed),33,high school,155569,management / self-employed / highly qualified employee / officer,1
100000036,0,single,25,other / unknown,104505,unemployed / unskilled,0
100000037,0,single,31,other / unknown,143385,skilled employee / official,2
100000038,0,single,37,high school,127676,skilled employee / official,1
100000039,0,single,37,high school,119276,skilled employee / official,1
100000040,0,single,24,other / unknown,92542,skilled employee / official,1
100000041,0,single,30,other / unknown,163329,management / self-employed / highly qualified employee / officer,1
100000042,0,non-single (divorced / separated / married / widowed),26,high school,130921,skilled employee / official,0
100000043,0,single,44,high school,133658,unemployed / unskilled,0
100000044,0,non-single (divorced / separated / married / widowed),24,high school,155104,skilled employee / official,1
100000045,1,non-single (divorced / separated / married / widowed),58,university,142335,unemployed / unskilled,1
100000046,1,non-single (divorced / separated / married / widowed),35,high school,138387,management / self-employed / highly qualified employee / officer,1
100000047,0,single,39,high school,140182,skilled employee / official,0
100000048,1,non-single (divorced / separated / married / widowed),23,high school,65421,unemployed / unskilled,0
100000049,0,single,39,high school,130500,unemployed / unskilled,0
100000050,1,non-single (divorced / separated / married / widowed),28,high school,122831,skilled employee / official,0
100000051,0,single,29,other / unknown,84531,unemployed / unskilled,0
