ID,Sex,Age,Education,Income,Settlement size,Marital status_single,Occupation_skilled employee / official,Occupation_unemployed / unskilled
100000001,0,67,2.0,124670,2,True,True,False
100000002,1,22,1.0,150773,2,False,True,False
100000003,0,49,1.0,89210,0,True,False,True
100000004,0,45,1.0,171565,1,True,True,False
100000005,0,53,1.0,149031,1,True,True,False
100000006,0,35,1.0,144848,0,True,False,True
100000007,0,53,1.0,156495,1,True,True,False
100000008,0,35,1.0,193621,1,True,False,False
100000009,0,61,2.0,151591,0,False,False,True
100000010,0,28,1.0,174646,0,False,False,False
100000011,1,25,1.0,108469,0,False,True,False
100000012,1,24,1.0,127596,0,False,True,False
100000013,1,22,1.0,108687,2,False,True,False
100000014,0,60,2.0,89374,0,True,False,True
100000015,1,28,1.0,102899,1,False,True,False
100000016,1,32,1.0,88428,0,False,False,True
100000017,0,53,1.0,125550,0,True,True,False
100000018,0,25,0.0,157434,2,True,True,False
100000019,1,44,2.0,261952,2,False,False,False
100000020,0,31,0.0,144657,1,True,True,False
100000021,0,48,1.0,118777,1,True,True,False
100000022,0,44,1.0,147511,1,True,True,False
100000023,0,48,1.0,89804,0,True,False,True
100000024,0,44,1.0,134918,2,True,True,False
100000025,0,26,1.0,103667,2,False,True,False
100000026,0,36,1.0,71909,0,True,False,True
100000027,0,39,1.0,68264,0,False,False,True
100000028,1,42,2.0,163025,1,False,True,False
100000029,0,34,1.0,119307,1,True,True,False
100000030,0,63,2.0,175882,0,True,True,False
100000031,0,36,1.0,159646,1,False,True,False
100000032,0,27,0.0,120131,1,True,True,False
100000033,0,30,0.0,162745,2,True,True,False
100000034,0,57,2.0,87605,0,True,False,True
100000035,1,33,1.0,155569,1,False,False,False
100000036,0,25,0.0,104505,0,True,False,True
100000037,0,31,0.0,143385,2,True,True,False
100000038,0,37,1.0,127676,1,True,True,False
100000039,0,37,1.0,119276,1,True,True,False
100000040,0,24,0.0,92542,1,True,True,False
100000041,0,30,0.0,163329,1,True,False,False
100000042,0,26,1.0,130921,0,False,True,False
100000043,0,44,1.0,133658,0,True,False,True
100000044,0,24,1.0,155104,1,False,True,False
100000045,1,58,2.0,142335,1,False,False,True
100000046,1,35,1.0,138387,1,False,False,False
100000047,0,39,1.0,140182,0,True,True,False
100000048,1,23,1.0,65421,0,False,False,True
100000049,0,39,1.0,130500,0,True,False,True
100000050,1,28,1.0,122831,0,False,True,False
100000051,0,29,0.0,84531,0,True,False,True
100000052,0,30,0.0,180196,2,True,False,False
100000053,0,25,0.0,92058,2,True,True,False
100000054,0,31,0.0,117158,0,True,True,False
100000055,0,57,2.0,135830,1,True,True,False
100000056,0,26,0.0,58258,0,True,False,True
100000057,0,52,1.0,202575,2,True,False,False
100000058,1,31,1.0,183657,1,False,True,False
100000059,1,23,1.0,152267,1,False,False,False
100000060,1,23,1.0,115240,0,False,False,True
100000061,0,27,1.0,106955,2,False,True,False
100000062,0,50,1.0,123641,1,True,True,False
100000063,0,61,2.0,166410,1,True,False,False
100000064,0,25,0.0,227385,2,True,True,False
100000065,1,26,1.0,118372,1,False,True,False
100000066,0,48,1.0,148115,1,True,True,False
100000067,1,29,1.0,111069,0,False,True,False
100000068,0,22,1.0,139780,0,False,True,False
100000069,0,37,1.0,106978,2,True,True,False
100000070,1,25,1.0,110019,2,False,True,False
100000071,1,30,1.0,169102,1,False,True,False
100000072,0,46,1.0,73703,0,True,False,True
100000073,0,51,1.0,141858,2,True,False,False
100000074,1,41,2.0,135959,0,False,False,True
100000075,0,40,1.0,140888,2,True,False,False
100000076,0,66,2.0,157299,2,True,False,False
100000077,0,34,1.0,125187,1,True,True,False
100000078,0,51,1.0,155486,2,True,True,False
100000079,0,39,1.0,151697,0,True,False,True
100000080,0,22,1.0,126400,1,False,True,False
100000081,1,44,2.0,159246,2,False,True,False
100000082,0,47,1.0,136138,1,True,True,False
100000083,1,24,1.0,84792,0,False,False,True
100000084,1,58,2.0,100210,0,False,False,True
100000085,0,52,1.0,93706,0,True,False,True
100000086,1,29,1.0,133783,1,False,False,False
100000087,1,27,1.0,110064,2,False,True,False
100000088,0,47,1.0,241068,1,True,True,False
100000089,0,30,0.0,149022,2,True,False,False
100000090,0,28,0.0,92973,2,True,True,False
100000091,0,56,1.0,110605,1,True,True,False
100000092,0,54,1.0,116604,1,True,True,False
100000093,1,33,1.0,71070,0,False,False,True
100000094,0,20,0.0,128678,1,True,True,False
100000095,0,54,1.0,165230,2,True,True,False
100000096,0,58,2.0,268340,1,True,True,False
100000097,1,61,2.0,135070,1,False,True,False
100000098,0,34,1.0,134794,2,True,True,False
100000099,0,36,1.0,120153,1,True,True,False
100000100,0,36,1.0,195465,2,True,False,False
100000101,0,41,1.0,93372,0,False,False,True
100000102,0,24,0.0,110446,0,True,True,False
100000103,1,24,1.0,95186,1,False,True,False
100000104,0,35,1.0,115343,1,True,True,False
100000105,0,26,1.0,107276,1,False,True,False
100000106,0,39,1.0,244716,2,True,False,False
