ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,0.0,67,2.0,124670,1.0,2
100000002,1,1.0,22,1.0,150773,1.0,2
100000003,0,0.0,49,1.0,89210,0.0,0
100000004,0,0.0,45,1.0,171565,1.0,1
100000005,0,0.0,53,1.0,149031,1.0,1
100000006,0,0.0,35,1.0,144848,0.0,0
100000007,0,0.0,53,1.0,156495,1.0,1
100000008,0,0.0,35,1.0,193621,1.0,1
100000009,0,1.0,61,2.0,151591,0.0,0
100000010,0,1.0,28,1.0,174646,1.0,0
100000011,1,1.0,25,1.0,108469,1.0,0
100000012,1,1.0,24,1.0,127596,1.0,0
100000013,1,1.0,22,1.0,108687,1.0,2
100000014,0,0.0,60,2.0,89374,0.0,0
100000015,1,1.0,28,1.0,102899,1.0,1
100000016,1,1.0,32,1.0,88428,0.0,0
100000017,0,0.0,53,1.0,125550,1.0,0
100000018,0,0.0,25,0.0,157434,1.0,2
100000019,1,1.0,44,2.0,261952,1.0,2
100000020,0,0.0,31,0.0,144657,1.0,1
100000021,0,0.0,48,1.0,118777,1.0,1
100000022,0,0.0,44,1.0,147511,1.0,1
100000023,0,0.0,48,1.0,89804,0.0,0
100000024,0,0.0,44,1.0,134918,1.0,2
100000025,0,1.0,26,1.0,103667,1.0,2
100000026,0,0.0,36,1.0,71909,0.0,0
100000027,0,1.0,39,1.0,68264,0.0,0
100000028,1,1.0,42,2.0,163025,1.0,1
100000029,0,0.0,34,1.0,119307,1.0,1
100000030,0,0.0,63,2.0,175882,1.0,0
100000031,0,1.0,36,1.0,159646,1.0,1
100000032,0,0.0,27,0.0,120131,1.0,1
100000033,0,0.0,30,0.0,162745,1.0,2
100000034,0,0.0,57,2.0,87605,0.0,0
100000035,1,1.0,33,1.0,155569,1.0,1
100000036,0,0.0,25,0.0,104505,0.0,0
100000037,0,0.0,31,0.0,143385,1.0,2
100000038,0,0.0,37,1.0,127676,1.0,1
100000039,0,0.0,37,1.0,119276,1.0,1
100000040,0,0.0,24,0.0,92542,1.0,1
100000041,0,0.0,30,0.0,163329,1.0,1
100000042,0,1.0,26,1.0,130921,1.0,0
100000043,0,0.0,44,1.0,133658,0.0,0
100000044,0,1.0,24,1.0,155104,1.0,1
100000045,1,1.0,58,2.0,142335,0.0,1
100000046,1,1.0,35,1.0,138387,1.0,1
100000047,0,0.0,39,1.0,140182,1.0,0
100000048,1,1.0,23,1.0,65421,0.0,0
100000049,0,0.0,39,1.0,130500,0.0,0
100000050,1,1.0,28,1.0,122831,1.0,0
100000051,0,0.0,29,0.0,84531,0.0,0
100000052,0,0.0,30,0.0,180196,1.0,2
100000053,0,0.0,25,0.0,92058,1.0,2
100000054,0,0.0,31,0.0,117158,1.0,0
100000055,0,0.0,57,2.0,135830,1.0,1
100000056,0,0.0,26,0.0,58258,0.0,0
100000057,0,0.0,52,1.0,202575,1.0,2
100000058,1,1.0,31,1.0,183657,1.0,1
100000059,1,1.0,23,1.0,152267,1.0,1
100000060,1,1.0,23,1.0,115240,0.0,0
100000061,0,1.0,27,1.0,106955,1.0,2
100000062,0,0.0,50,1.0,123641,1.0,1
100000063,0,0.0,61,2.0,166410,1.0,1
100000064,0,0.0,25,0.0,227385,1.0,2
100000065,1,1.0,26,1.0,118372,1.0,1
100000066,0,0.0,48,1.0,148115,1.0,1
100000067,1,1.0,29,1.0,111069,1.0,0
100000068,0,1.0,22,1.0,139780,1.0,0
100000069,0,0.0,37,1.0,106978,1.0,2
100000070,1,1.0,25,1.0,110019,1.0,2
100000071,1,1.0,30,1.0,169102,1.0,1
100000072,0,0.0,46,1.0,73703,0.0,0
100000073,0,0.0,51,1.0,141858,1.0,2
100000074,1,1.0,41,2.0,135959,0.0,0
100000075,0,0.0,40,1.0,140888,1.0,2
100000076,0,0.0,66,2.0,157299,1.0,2
100000077,0,0.0,34,1.0,125187,1.0,1
100000078,0,0.0,51,1.0,155486,1.0,2
100000079,0,0.0,39,1.0,151697,0.0,0
100000080,0,1.0,22,1.0,126400,1.0,1
100000081,1,1.0,44,2.0,159246,1.0,2
100000082,0,0.0,47,1.0,136138,1.0,1
100000083,1,1.0,24,1.0,84792,0.0,0
100000084,1,1.0,58,2.0,100210,0.0,0
100000085,0,0.0,52,1.0,93706,0.0,0
100000086,1,1.0,29,1.0,133783,1.0,1
100000087,1,1.0,27,1.0,110064,1.0,2
100000088,0,0.0,47,1.0,241068,1.0,1
100000089,0,0.0,30,0.0,149022,1.0,2
100000090,0,0.0,28,0.0,92973,1.0,2
100000091,0,0.0,56,1.0,110605,1.0,1
100000092,0,0.0,54,1.0,116604,1.0,1
100000093,1,1.0,33,1.0,71070,0.0,0
100000094,0,0.0,20,0.0,128678,1.0,1
100000095,0,0.0,54,1.0,165230,1.0,2
100000096,0,0.0,58,2.0,268340,1.0,1
100000097,1,1.0,61,2.0,135070,1.0,1
100000098,0,0.0,34,1.0,134794,1.0,2
100000099,0,0.0,36,1.0,120153,1.0,1
100000100,0,0.0,36,1.0,195465,1.0,2
100000101,0,1.0,41,1.0,93372,0.0,0
100000102,0,0.0,24,0.0,110446,1.0,0
100000103,1,1.0,24,1.0,95186,1.0,1
100000104,0,0.0,35,1.0,115343,1.0,1
100000105,0,1.0,26,1.0,107276,1.0,1
100000106,0,0.0,39,1.0,244716,1.0,2
100000107,0,0.0,39,1.0,183108,1.0,2
100000108,0,0.0,32,0.0,152876,1.0,2
100000109,1,1.0,30,1.0,165147,1.0,0
100000110,0,1.0,35,1.0,140520,1.0,0
100000111,0,1.0,31,1.0,124203,1.0,1
100000112,1,1.0,23,1.0,107205,1.0,1
100000113,0,0.0,28,0.0,121432,0.0,2
100000114,1,1.0,25,1.0,162445,1.0,0
100000115,0,1.0,35,1.0,134112,1.0,1
100000116,0,0.0,47,1.0,131842,1.0,1
100000117,1,1.0,30,1.0,189896,1.0,0
100000118,1,1.0,27,1.0,109099,1.0,2
100000119,1,1.0,23,1.0,153539,1.0,1
100000120,0,1.0,36,1.0,180495,1.0,1
100000121,1,1.0,25,1.0,104653,1.0,2
100000122,1,1.0,41,2.0,166933,1.0,2
100000123,0,0.0,24,0.0,66118,0.0,0
100000124,0,0.0,63,2.0,135754,1.0,0
100000125,1,1.0,27,1.0,116103,1.0,2
100000126,0,0.0,30,0.0,104293,1.0,1
100000127,0,1.0,40,1.0,71702,0.0,0
100000128,0,0.0,30,0.0,99066,1.0,2
100000129,0,0.0,34,1.0,143979,1.0,2
100000130,1,1.0,29,1.0,123818,1.0,0
100000131,1,1.0,24,1.0,176714,1.0,2
100000132,0,0.0,29,0.0,149249,1.0,2
100000133,0,0.0,27,0.0,77535,0.0,0
100000134,0,0.0,47,1.0,116540,1.0,1
100000135,1,1.0,21,1.0,194728,1.0,0
100000136,1,1.0,38,1.0,109311,1.0,2
100000137,0,0.0,27,0.0,204723,1.0,2
100000138,0,0.0,66,2.0,126003,0.0,0
100000139,0,0.0,35,1.0,123109,1.0,1
100000140,1,1.0,44,2.0,108251,0.0,0
100000141,0,1.0,27,1.0,89908,0.0,0
100000142,1,1.0,30,1.0,176057,1.0,1
100000143,0,0.0,27,0.0,144332,1.0,2
100000144,0,0.0,22,0.0,101185,1.0,1
100000145,1,1.0,23,1.0,107406,1.0,2
100000146,0,0.0,30,0.0,140665,1.0,1
100000147,1,1.0,39,2.0,106461,1.0,0
100000148,1,1.0,51,2.0,127825,1.0,0
100000149,0,0.0,28,0.0,133898,1.0,1
100000150,0,0.0,46,1.0,152383,1.0,2
100000151,0,0.0,42,1.0,119926,1.0,0
100000152,0,0.0,38,1.0,108784,1.0,2
100000153,0,0.0,24,0.0,153286,1.0,1
100000154,1,1.0,29,1.0,214204,1.0,2
100000155,0,0.0,36,1.0,208101,1.0,2
100000156,1,1.0,20,1.0,95355,1.0,1
